"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"11/05/2013","ADAGE CAPITAL MGMT      ","030","SWY","B","64,300","35.16","1,929.00","0.030"
"04/25/2013","ADAGE CAPITAL MGMT      ","030","T","S","225,000","37.34","6,750.00","0.030"
"05/17/2013","ADAGE CAPITAL MGMT      ","030","T","S","380,000","37.26","11,400.00","0.030"
"10/15/2013","ADAGE CAPITAL MGMT      ","030","TEN","S","50,000","51.70","1,500.00","0.030"
"03/04/2013","ADAGE CAPITAL MGMT      ","030","TGT","B","120,000","65.82","3,600.00","0.030"
"11/05/2013","ADAGE CAPITAL MGMT      ","030","TGT","B","109,700","64.88","3,291.00","0.030"
"02/27/2013","ADAGE CAPITAL MGMT      ","030","TGT","S","150,000","62.15","4,500.00","0.030"
"05/06/2013","ADAGE CAPITAL MGMT      ","030","TGT","S","150,000","70.07","4,500.00","0.030"
"05/10/2013","ADAGE CAPITAL MGMT      ","030","TGT","S","140,000","69.33","4,200.00","0.030"
"05/17/2013","ADAGE CAPITAL MGMT      ","030","TPX","SS","100,000","47.57","3,000.00","0.030"
"05/24/2013","ADAGE CAPITAL MGMT      ","030","TWX","S","50,000","59.35","1,500.00","0.030"
"03/28/2013","ADAGE CAPITAL MGMT      ","030","UA","B","5,200","51.30","156.00","0.030"
"04/17/2013","ADAGE CAPITAL MGMT      ","030","URBN","B","60,000","39.35","1,800.00","0.030"
"09/03/2013","ADAGE CAPITAL MGMT      ","030","URBN","S","65,716","41.95","1,971.48","0.030"
"09/04/2013","ADAGE CAPITAL MGMT      ","030","URBN","S","103,784","41.83","3,113.52","0.030"
"09/05/2013","ADAGE CAPITAL MGMT      ","030","URBN","S","20,000","41.89","600.00","0.030"
"05/24/2013","ADAGE CAPITAL MGMT      ","030","WFM","B","70,000","104.60","2,100.00","0.030"
"03/05/2013","ADAGE CAPITAL MGMT      ","030","WMT","S","170,000","73.66","5,100.00","0.030"
"04/10/2013","ADAGE CAPITAL MGMT      ","030","WMT","S","180,000","77.86","5,400.00","0.030"
"04/11/2013","ADAGE CAPITAL MGMT      ","030","WMT","S","120,000","77.40","3,600.00","0.030"
"04/16/2013","AELTUS/ING IVESTMENT MGT","215","ACOR","S","67,800","39.87","2,034.00","0.030"
"04/15/2013","AELTUS/ING IVESTMENT MGT","215","CBS","S","39,416","46.16","1,182.48","0.030"
"03/28/2013","AELTUS/ING IVESTMENT MGT","215","CTRP","B","105,000","22.00","3,150.00","0.030"
"04/08/2013","AELTUS/ING IVESTMENT MGT","215","DIS","B","244,748","58.64","7,342.44","0.030"
